ID Transacao;Data;Descricao;Valor;Documento Vinculado;Status
202507160771;2025-07-16;"Pix enviado: ""Cp :21018182-UBER DO BRASIL TECNOLOGIA LTDA""";-20.96;00001_minuta.pdf;Emitido
202507160772;2025-07-16;"Pix enviado: ""Cp :54403563-M4 PRODUTOS E SERVICOS LTDA""";-15.00;00002_minuta.pdf;Emitido
202507160773;2025-07-16;"Pix enviado: ""Cp :60746948-Marcelo Reis Pereira Silva""";-52.00;00003_minuta.pdf;Emitido
202507160774;2025-07-16;"Pix recebido: ""Cp :90400888-JBS S A""";133.00;00004_minuta.pdf;Emitido
202507160775;2025-07-16;"Pix enviado: ""Cp :10573521-LALAMOVE TECNOLOGIA BRASIL LTDA""";-20.00;00005_minuta.pdf;Emitido
202507150771;2025-07-15;"Pix recebido: ""Cp :18236120-AVILA TRANSPORTES INTERMUNICIPAL LTDA""";71.30;00006_minuta.pdf;Emitido
202507150772;2025-07-15;"Pix enviado: ""Cp :03065046-Fabio Brigatti Transportes LTDA""";-81.40;00007_minuta.pdf;Emitido
202507150773;2025-07-15;"Boleto de cobranca recebido: ""112/90357688798""";95.00;00008_minuta.pdf;Emitido
202507150774;2025-07-15;"Pix enviado: ""Cp :16501555-SANTA ANA FESTAS E EVENTOS""";-37.00;00009_minuta.pdf;Emitido
202507150775;2025-07-15;"Boleto de cobranca recebido: ""112/90364859200""";60.00;00010_minuta.pdf;Emitido
202507150776;2025-07-15;"Boleto de cobranca recebido: ""112/90364831076""";120.00;00011_minuta.pdf;Emitido
202507150777;2025-07-15;"Pix enviado: ""Cp :16501555-FRANGO LANGO COMERCIO DE FRANGOS LTDA""";-43.65;00012_minuta.pdf;Emitido
202507150778;2025-07-15;"Pix recebido: ""Cp :00971300-GUFLA PECAS AGRICOLAS LTDA""";557.34;00013_minuta.pdf;Emitido
202507150779;2025-07-15;"Pix recebido: ""Cp :54037916-BUFALO COMERCIO DE VIDROS LTDA""";255.00;00014_minuta.pdf;Emitido
2025071507710;2025-07-15;"Pix enviado: ""Cp :60701190-SUPERMERCADO SERV LAR""";-30.58;00015_minuta.pdf;Emitido
2025071507711;2025-07-15;"Boleto de cobranca recebido: ""112/90361036653""";401.25;00016_minuta.pdf;Emitido
2025071507712;2025-07-15;"Pix enviado: ""Cp :90400888-Alvaro Ricardo Dias Calsaverini""";-1000.00;00017_minuta.pdf;Emitido
2025071507713;2025-07-15;"Pix enviado: ""Cp :08561701-Davi P dos Santos Correa Lanches""";-33.00;00018_minuta.pdf;Emitido
2025071507714;2025-07-15;"Pix enviado: ""Cp :60701190-IFOOD COM AGENCIA DE RESTAURANTES ONLINE S A""";-49.38;00019_minuta.pdf;Emitido
2025071507715;2025-07-15;"Pix enviado: ""Cp :00360305-Antonio Barbosa de Souza Junior""";-290.00;00020_minuta.pdf;Emitido
2025071507716;2025-07-15;"Pix enviado devolvido: ""Cp :60701190-IFOOD COM AGENCIA DE RESTAURANTES ONLINE S A""";49.38;00021_minuta.pdf;Emitido
202507140771;2025-07-14;"Pix recebido: ""Cp :18236120-Nicolas Rosa""";100.00;00022_minuta.pdf;Emitido
202507140772;2025-07-14;"Pix enviado: ""Cp :16501555-SANTA ANA FESTAS E EVENTOS""";-32.90;00023_minuta.pdf;Emitido
202507140773;2025-07-14;"Pix enviado: ""Cp :16501555-TERCEIRO TEMPO BAR E CONVENIENCIA""";-25.00;00024_minuta.pdf;Emitido
